,Date,resource_pool,"VCPU, quota","VCPU, Allocated","VCPU, Used","RAM, quota","RAM, Allocated","RAM, Used","Storage, quota","Storage, Allocated","Storage, Used"
225,2019.09.09,0,3200,2324.0,72.625,31729,9849,31.041003498376885,220149,110203,50.05836955879881
226,2019.09.09,2,8139,8020.0,98.53790391940042,37586,29538,78.58777204278189,380514,329277,86.53479241236853
227,2019.09.09,3,35120,28118.0,80.0626423690205,356024,115002,32.301754937869354,1771460,1519844,85.7961229720118
228,2019.09.09,4,27864,26763.0,96.04866494401378,184633,113884,61.68128124441458,1971231,1657753,84.09734830671799
229,2019.09.09,5,12600,9745.0,77.34126984126985,128973,54345,42.136726291549394,424937,358797,84.43533982684492
230,2019.09.09,6,12358,11581.0,93.71257485029942,89496,51512,57.55787968177349,940692,769565,81.80839211984369
231,2019.09.09,8,3200,835.0,26.093750000000004,32754,3877,11.836722232399099,143352,27823,19.40886768234834
232,2019.09.09,9,25600,9433.0,36.84765625000001,261973,55029,21.005599813721265,1085384,434778,40.05752802694714
233,2019.09.09,12,3200,748.0,23.375,32754,4384,13.384624778652988,92155,22744,24.6801584287342
234,2019.09.09,13,37700,23081.0,61.22281167108754,385891,107139,27.764057726145463,1448882,914341,63.106657408953936
235,2019.09.09,14,3200,367.0,11.468750000000005,32754,1507,4.600964767661964,153592,10443,6.799182249075475
236,2019.09.09,15,4700,506.0,10.765957446808514,48107,1886,3.920427380630676,107514,21488,19.986234350875236
237,2019.09.09,16,5647,2289.0,40.53479723747122,56254,16355,29.07348810751236,646828,232785,35.98870178780139
238,2019.09.09,18,15600,5642.0,36.16666666666667,159615,27492,17.223945117940044,552932,178514,32.284982601838934
239,2019.09.02,0,3200,2134.0,66.6875,31729,8974,28.28327397648839,220149,91296,41.4700952536691
240,2019.09.02,2,8189,7674.0,93.7110758334351,37586,28700,76.35821848560634,380514,318743,83.7664317213033
241,2019.09.02,3,35120,27089.0,77.13268792710707,356024,110272,30.97319281846168,1771460,1378618,77.82382893206734
242,2019.09.02,4,25516,25174.0,98.65966452422009,183351,106131,57.88405844527709,1682111,1523882,90.59342694982674
243,2019.09.02,5,12600,7494.0,59.47619047619048,128973,40738,31.586456079954715,424937,275463,64.82443279827363
244,2019.09.02,6,12358,11395.0,92.20747693801586,89496,50432,56.351121837847494,940692,787994,83.76748181126234
245,2019.09.02,8,3200,837.0,26.156250000000004,32754,3897,11.897783476827259,143352,28101,19.602795914950608
246,2019.09.02,9,25600,3967.0,15.496093749999995,261972,22386,8.54518803536256,1085384,190980,17.595615929477493
247,2019.09.02,12,3200,492.0,15.375000000000005,32754,2848,8.695121206570189,92155,14801,16.060984211382998
248,2019.09.02,13,34600,21845.0,63.13583815028903,354160,99675,28.144059182290487,1361847,876773,64.3811676348371
249,2019.09.02,14,3200,339.0,10.593750000000002,32754,1303,3.978140074494718,153592,9189,5.982733475701862
250,2019.09.02,15,4700,506.0,10.765957446808514,48107,1862,3.8705385910574375,107514,21464,19.963911676618864
251,2019.09.02,16,5647,2301.0,40.747299451035936,56254,16423,29.19436840046929,646828,182811,28.262691163647837
252,2019.09.02,18,12400,5620.0,45.322580645161295,126923,27306,21.513831220503764,399340,175822,44.028146441628685
253,2019.08.26,0,3200,2026.0,63.31249999999999,31729,8473,26.704276844527094,220149,86470,39.27794357457904
254,2019.08.26,2,8189,7674.0,93.7110758334351,37586,28605,76.10546480072368,380514,315463,82.90443978408153
255,2019.08.26,3,28720,22900.0,79.73537604456823,290507,89765,30.89942755252025,1464276,1232571,84.17613892462896
256,2019.08.26,4,24142,23438.0,97.08392013917654,177617,99012,55.74466408057788,1666111,1445272,86.74524086330382
257,2019.08.26,5,12600,4506.0,35.76190476190476,128973,23844,18.4875904259031,424937,175023,41.18798786643667
258,2019.08.26,6,12358,11206.0,90.67810325295356,89496,49538,55.35219451148655,940692,800935,85.14317119737385
259,2019.08.26,8,3200,801.0,25.031250000000004,32754,3777,11.531416010258287,143352,27457,19.153552095541052
260,2019.08.26,9,22400,2404.0,10.732142857142858,229280,13412,5.849616189811579,982989,111303,11.322914091612425
261,2019.08.26,12,3200,36.0,1.1249999999999982,32754,128,0.3907919643402313,92155,736,0.7986544408876362
262,2019.08.26,13,34600,19714.0,56.97687861271676,354160,86695,24.47904901739327,1361847,819212,60.15448137712973
